Plate ID, Date, RA_CTR, DEC_CTR
a04350, NA, NA, NA
a05908, NA, NA, NA
a15952, 1932-03-15T01:36:28.8Z, 241.62717, -55.331289
a03072, 1898-06-08T03:17:16.8Z, 233.547451, 24.554483
a10930, 1914-06-03T03:23:02.4Z, 226.251356, 14.462444
a16243, 1932-09-22T22:43:40.8Z, 4.165843, -21.923194
a15285, 1931-04-10T03:07:12Z, 263.838259, -31.612108
a04489, NA, NA, NA
a15954, 1932-03-15T18:24:28.8Z, 128.499234, -22.906195
a07169, 1905-01-15T01:40:48Z, 66.590373, 57.646212
a10287, 1910-09-26T04:24:48.2Z, 6.882772, -56.915238
a14782, 1930-06-19T17:58:33.6Z, 269.465824, -36.546833
a00841, 1894-09-07T01:24:57.6Z, 298.370385, 27.730415
a06870, 1904-08-19T07:58:04.8Z, 29.01824, 27.913476
a02846, 1897-10-24T02:42:43.2Z, 319.40811, -37.226484
a16695, 1933-12-20T21:40:19.2Z, 138.774638, -18.081399
a15617, 1931-08-10T23:09:36Z, 277.47105, -23.048033
a19242, 1937-04-07T19:07:40.8Z, 161.21278, -58.904035
a01661, 1895-09-13T03:27:21.6Z, 338.399142, 52.873744
a13378, 1925-06-30T06:18:43.2Z, 325.226441, -23.121251
a07847, 1906-07-13T09:25:55.2Z, 346.35977, -44.658668
a09123, 1909-03-25T02:31:12Z, 121.279653, -25.449404
a14097, 1926-10-16T09:15:50.4Z, 159.593015, 14.89575
a08734, 1908-05-13T02:48:28.8Z, 171.370024, -20.592771
a00151, 1894-01-09T00:31:40.8Z, 2.876356, 27.414525
a02266, 1897-05-11T00:24:28.8Z, 148.637516, -53.386989
a19370, 1937-05-17T16:59:31.2Z, 215.747134, -52.045996
a01659, 1895-09-13T02:34:04.8Z, 343.799102, 42.747545
a11755, 1918-07-18T00:10:12.2Z, 210.868074, -60.106212
a11524, 1916-08-04T04:48:00Z, 287.63889, -32.968377
a14526, 1930-01-30T02:19:40.8Z, 255.717406, -47.552546
a01877, 1896-07-01T03:11:31.2Z, 263.511972, 17.473353
a07268, 1905-04-25T05:45:36Z, 183.616926, 31.904035
a04151, 1899-11-23T02:05:16.8Z, 49.119337, 18.197913
a19901, NA, NA, NA
a07840, 1906-07-13T07:17:45.6Z, 316.692285, -49.691929
a16511, 1933-06-30T00:24:28.8Z, 339.288977, -52.315097
a09723, 1909-08-25T02:38:24Z, 285.982368, 9.934222
a01748, NA, NA, NA
a02725, 1897-09-15T01:30:43.2Z, 264.305304, -32.499567
a07756, 1906-06-28T01:48:00Z, 234.400031, -55.466329
a18349, 1936-03-22T17:48:28.8Z, 171.251743, 4.701319
a08029, 1906-08-23T02:02:24Z, 243.962275, -27.795435
a13896, 1926-07-13T00:47:31.2Z, 167.736637, -62.256724
a04510, NA, NA, NA
a06442, NA, NA, NA
a19690, 1937-08-15T21:01:59.8Z, 316.939697, 15.467229
a06669, 1904-04-17T08:35:31.2Z, 322.677621, -16.017816
a02494, 1897-06-18T04:13:26.4Z, 203.94487, -32.896663
a05434, 1901-06-29T00:11:31.2Z, 177.30195, -13.094887
a06680, 1904-04-21T00:43:12Z, 123.594083, 26.866435
a13082, NA, NA, NA
a12950, NA, NA, NA
a06691, 1904-04-22T01:42:14.4Z, 143.966879, 36.938958
a04613, 1900-08-29T06:53:16.8Z, 329.546212, -62.329243
a15264, 1931-03-20T17:58:33.6Z, 81.548973, -68.831313
a07687, 1906-05-25T02:05:16.8Z, 192.035001, -70.773746
a10408, 1911-06-01T03:38:52.8Z, 209.968935, -58.327936
a08833, 1908-06-11T00:20:09.6Z, 151.113567, -35.758511
a10172, 1910-07-07T06:07:12Z, 274.787029, -18.82404
a08400, 1907-07-28T03:38:52.8Z, 252.061858, -50.305471
a12874, 1923-12-08T07:32:09.6Z, 116.088403, -26.417301
a09991, NA, NA, NA
a13605, 1925-11-07T03:23:02.4Z, 13.583327, -72.727468
a04244, 1900-03-22T06:25:55.2Z, 174.8368, 11.943957
a12695, 1923-09-17T23:47:02.4Z, 235.232161, -37.047192
a07217, 1905-03-12T04:22:04.8Z, 123.628752, -27.888515
a07585, NA, NA, NA
a12660, 1923-09-12T00:53:16.8Z, 243.633759, -22.48677
a02554, 1897-07-20T03:15:50.4Z, 279.439174, -52.727023
a07291, 1905-05-03T04:39:21.6Z, 251.81524, -33.743684
a16457, 1933-04-29T19:29:16.8Z, 182.541596, 27.617914
a04322, 1900-04-22T07:53:45.6Z, 228.517827, 22.378191
a04656, 1900-09-05T01:33:36Z, 284.527162, 37.494114
a17532, 1935-05-02T00:17:16.8Z, 228.706288, -82.838602
a08577, 1908-03-27T03:44:38.4Z, 173.178838, -60.437225
a10595, 1912-07-21T07:04:48Z, 308.893266, -19.743998
a17803, 1935-07-11T02:34:04.8Z, 20.589629, -49.558863
a11745, 1918-07-13T00:46:04.8Z, 199.009571, -46.593932
a04823, 1900-10-24T02:51:21.6Z, 333.918883, -27.242935
a04887, 1900-11-21T02:52:48Z, 339.048035, -42.072302
a11336, 1915-08-10T06:00:00Z, 317.511134, -14.597653
a14309, 1929-10-29T21:04:19.2Z, 12.867622, -52.313852
a08659, 1908-04-25T08:39:50.4Z, 264.849345, -52.662169
a02748, NA, NA, NA
a15005, 1930-10-23T19:56:38.4Z, 6.166437, -24.661646
a05134, 1901-04-24T03:33:07.2Z, 230.214909, -82.979318
a02211, NA, NA, NA
a19798, 1937-10-11T02:18:14.4Z, 89.329814, 22.540232
a08353, 1907-06-15T01:10:33.6Z, 166.344838, -15.643138
a06255, 1902-12-04T08:35:31.2Z, 189.500728, -6.226137
a03572, NA, NA, NA
a04944, 1900-12-30T03:02:52.8Z, 44.374414, -37.420773
a15442, 1931-06-12T22:58:04.8Z, 331.735976, -69.895587
a18499, NA, NA, NA
a03643, 1899-06-18T03:33:07.2Z, 229.361251, -38.130807
a19056, 1937-01-08T19:56:38.4Z, 113.374696, -47.661907
a12717, 1923-10-01T03:33:07.2Z, 325.108457, -24.413621
a05856, NA, NA, NA
a00293, 1894-03-03T07:29:16.8Z, 213.499054, 51.593517
a10441, 1911-07-19T07:33:36Z, 332.350573, -19.75217
a17522, NA, NA, NA
a06709, 1904-05-03T02:00:57.6Z, 143.758548, 17.089894
a07181, 1905-01-25T01:43:40.8Z, 98.164277, 22.078578
a08455, 1907-08-19T03:33:07.2Z, 281.892862, -39.952777
a04253, 1900-03-29T00:51:50.4Z, 88.666909, -12.770183
a18793, 1936-08-11T21:12:57.6Z, 253.360278, -59.204366
a18602, 1936-06-15T17:02:24Z, 202.741238, -35.412231
a14890, 1930-08-21T18:51:50.4Z, 299.608955, -47.439793
a12262, 1922-11-02T02:55:40.8Z, 9.497481, -72.927868
a18451, 1936-04-28T18:37:26.4Z, 140.44627, -60.705363
a04751, 1900-09-27T06:08:38.4Z, 344.267304, -37.184661
a10839, 1913-12-29T03:43:12Z, 58.360708, -0.263958
a07130, 1905-01-12T01:30:43.2Z, 98.327039, -12.687396
a07435, 1905-08-18T00:41:45.6Z, 238.911815, -43.351055
a03166, 1898-07-10T01:03:21.6Z, 223.791447, -40.512134
a00445, 1894-03-27T05:25:26.4Z, 198.890552, 36.659277
a10296, 1910-09-28T05:57:07.2Z, 4.229522, -32.530106
a02250, 1897-04-27T04:40:48Z, 171.246946, -62.160155
a11704, 1917-09-09T07:46:33.6Z, 76.2717, -70.544257
a16431, 1933-04-06T01:30:43.2Z, 226.981748, -77.769077
a10981, 1914-07-23T01:23:31.2Z, 221.006646, 15.064276
a03386, NA, NA, NA
a19197, 1937-03-21T22:36:28.8Z, 140.199039, -60.817837
a14844, 1930-07-24T18:20:09.6Z, 273.702629, -30.001613
a18187, 1936-01-05T01:06:30.8Z, 79.69843, -65.782032
a07975, 1906-08-11T01:43:40.8Z, 261.900263, -45.034125
a08083, 1906-09-07T00:43:12Z, 243.823639, -2.720969
a11774, 1918-07-31T00:47:31.2Z, 233.009322, -50.61469
a01792, 1896-05-23T07:52:19.2Z, 322.673091, 12.613895
a07179, 1905-01-15T04:01:55.2Z, 109.131168, 42.37555
a17128, 1934-09-04T21:04:19.2Z, 13.427537, -72.692607
a13861, 1926-07-06T00:00:00Z, 191.055631, -42.631613
a11913, NA, NA, NA
a04874, 1900-11-14T02:57:07.2Z, 30.303466, 54.271411
a10071, 1910-05-15T07:06:14.4Z, 239.133727, -8.151479
a16338, NA, NA, NA
a17149, 1934-09-13T20:42:43.2Z, 13.651351, -72.845315
a13701, 1926-05-12T23:28:19.2Z, 100.231656, -45.160939
a14909, 1930-08-26T03:17:16.8Z, 29.785617, -26.723639
a03273, 1898-08-28T02:41:16.8Z, 333.186026, -77.355753
a04102, NA, NA, NA
a06859, 1904-08-17T09:36:00Z, 35.389912, -72.271511
a04931, 1900-12-28T01:30:43.2Z, 333.450588, -38.039366
a08694, NA, NA, NA
a14968, 1930-09-26T01:58:04.8Z, 81.670989, -69.215066
a17022, 1934-07-17T19:39:21.6Z, 291.082487, 1.307374
a13121, NA, NA, NA
a15291, NA, NA, NA
a06173, 1902-09-28T02:42:43.2Z, 308.73176, 17.927673
a05515, 1901-08-06T04:03:21.6Z, 259.206826, -52.819135
a19126, 1937-03-01T19:15:42Z, 77.985798, -69.895496
a08811, 1908-06-10T00:50:24Z, 163.709048, -18.226343
a01975, 1896-08-05T04:19:12Z, 273.886103, -42.940679
a14312, 1929-10-30T18:48:57.6Z, 322.363306, -62.150049
a08214, 1907-01-15T03:46:04.8Z, 65.419861, -49.945039
a03085, 1898-06-14T01:33:36Z, 158.765177, -33.163426
a14726, 1930-05-23T21:18:43.2Z, 220.813273, -35.120662
a07371, 1905-06-28T08:35:31.2Z, 298.663954, -22.332443
a03429, 1898-12-18T01:53:45.6Z, 83.737349, -5.206389
a01100, 1894-10-18T06:41:45.6Z, 43.838282, 2.36258
a15925, 1932-02-29T21:34:33.6Z, 163.970106, -27.919615
a01873, 1896-06-30T01:06:14.4Z, 204.345447, -31.114021
a01651, 1895-09-02T05:54:14.4Z, 358.862484, 52.696545
a14792, 1930-07-16T16:59:31.2Z, 231.473664, -45.398416
a13556, 1925-09-24T09:24:28.8Z, 117.184718, -25.188258
a16397, 1933-03-10T02:21:07.2Z, 262.216349, -57.665707
a09509, 1909-07-07T04:19:12Z, 251.08262, -10.405482
a17648, 1935-06-14T18:03:57.6Z, 241.278112, -74.770663
a08475, 1907-08-27T01:06:14.4Z, 238.895459, -22.789192
a01589, 1895-08-22T06:10:04.8Z, 37.099968, 67.768204
a02748, NA, NA, NA
a11037, 1914-09-15T02:22:33.6Z, 301.636067, -45.230333
a05185, 1901-05-19T08:31:12Z, 277.01521, -57.291174
a12157, NA, NA, NA
a02453, NA, NA, NA
a01114, 1894-10-19T02:13:55.2Z, 333.614707, 22.632484
a18616, 1936-06-18T02:15:21.6Z, 319.151056, 5.042624
a01376, NA, NA, NA
a10994, 1914-07-24T04:43:40.8Z, 285.987075, 15.440479
a10183, 1910-07-11T07:37:55.2Z, 309.422864, -2.374445
a13357, NA, NA, NA
a18607, 1936-06-16T19:10:33.6Z, 236.636501, 5.435354
a18357, 1936-03-26T01:27:50.4Z, 239.096367, 12.238256
a16795, 1934-04-18T23:58:33.6Z, 205.579943, 28.384751
a01130, 1894-10-19T07:07:40.8Z, 89.129003, 42.177141
a01021, 1894-10-11T06:05:45.6Z, 8.835198, 47.80203
a12434, 1923-06-15T10:00:28.8Z, 4.365328, -72.143564
a01483, 1895-05-30T03:02:52.8Z, 205.53548, 27.838227
a02459, NA, NA, NA
a08899, 1908-06-26T07:10:33.6Z, 286.71496, -45.06028
a13065, 1924-08-23T01:10:33.6Z, 248.833884, -47.613384
a16705, 1934-01-11T22:24:57.6Z, 81.739973, -68.958437
a10020, 1910-01-06T04:26:24Z, 76.640979, -10.10198
a07740, 1906-06-19T06:23:02.4Z, 257.271342, -60.168275
a08573, 1908-03-26T01:23:31.2Z, 90.570829, 11.642626
a11316, 1915-07-29T00:19:53.5Z, 226.082679, -55.176115
a11104, 1915-03-22T06:41:45.6Z, 211.448891, -41.310259
a03248, 1898-08-26T03:20:09.6Z, 327.741177, -72.251711
a08218, 1907-02-24T03:40:19.2Z, 105.610036, -55.396551
a18247, 1963-06-21T00:51:50.4Z, 189.079757, 1.61489
a01604, 1895-08-26T03:18:43.2Z, 327.917525, 62.662094
a13985, 1926-08-25T23:44:09.6Z, 215.812125, -52.080308
a11716, NA, NA, NA
a06718, 1904-05-08T01:58:04.8Z, 183.996648, 11.91481
a12700, 1923-09-21T08:54:14.4Z, 85.4681, -66.507175
a01257, 1895-01-10T00:00:00Z, 79.141858, 46.622267
a04286, 1900-04-10T02:39:50.4Z, 138.570914, -37.991116
a13714, 1926-05-14T01:40:48Z, 123.85794, -33.870021
a08918, 1908-07-06T05:25:26.4Z, 221.518952, -40.387458
a02420, NA, NA, NA
a11386, 1915-09-16T00:11:43.7Z, 268.025053, -61.207865
a17783, 1935-07-03T21:48:57.6Z, 319.13573, -7.121656
a04579, NA, NA, NA
a15502, 1931-07-06T21:36:00Z, 253.270622, -22.545794
a11911, 1922-04-18T00:34:33.6Z, 154.013507, -47.01407
a01322, 1895-02-27T01:20:38.4Z, 44.364651, 57.604648
a00814, 1894-08-18T06:48:57.6Z, 297.968, 47.536377
a07628, NA, NA, NA
a12715, 1923-10-01T02:18:14.4Z, 285.590697, -36.490374
a10015, 1910-01-03T06:47:31.2Z, 111.875575, -20.378862
a07692, 1906-05-25T04:36:28.8Z, 162.094414, -62.075528
a10766, 1913-08-07T07:01:55.2Z, 303.041921, -44.956864
a02821, 1897-10-13T00:57:36Z, 283.950871, -32.205994
a08888, 1908-06-23T04:17:45.6Z, 233.78714, -32.868719
a09225, 1909-05-10T06:17:16.8Z, 221.492623, -10.544632
a01682, 1895-09-14T05:08:09.6Z, 303.25557, 37.566446
a10804, 1913-09-30T00:50:24Z, 13.06344, -72.984694
a04257, 1900-03-30T02:00:57.6Z, 133.621552, -58.208258
a17977, 1935-09-06T02:15:21.6Z, 75.781835, -49.946367
a03352, 1898-10-23T00:48:57.6Z, 4.025094, -17.44637
a01904, 1896-07-12T03:01:26.4Z, 268.549287, -37.709986
a17764, 1935-06-29T02:26:52.8Z, 9.212883, -12.116856
a09701, NA, NA, NA
a05602, 1901-08-27T00:14:24Z, 229.285162, -22.864957
a10221, 1910-08-03T04:49:26.4Z, 290.502985, -15.06804
a01266, 1895-01-24T07:55:12Z, 25.60378, 89.99929
a12213, 1922-09-29T01:10:33.6Z, 274.458635, -52.456724
a08318, 1907-05-30T01:46:33.6Z, 166.192019, -45.767845
a10356, 1910-12-24T06:11:31.2Z, 97.413653, -62.768063
a09848, NA, NA, NA
a01997, 1896-08-16T02:16:48Z, 312.737404, 17.783815
a10457, 1911-08-09T03:54:43.2Z, 270.329628, -27.896896
a16572, 1933-09-04T01:50:52.8Z, 46.838054, 15.344843
a02943, NA, NA, NA
a01004, 1894-10-08T02:28:19.2Z, 308.748868, 2.299401
a08589, 1908-04-09T01:27:50.4Z, 121.007472, -35.435512
a17588, 1935-05-29T21:38:52.8Z, 274.030317, -12.441652
a04958, NA, NA, NA
a19319, 1937-04-23T18:50:48.8Z, 110.968802, -14.783685
a08025, 1906-08-22T04:07:40.8Z, 318.380646, 32.500701
a18551, 1936-05-29T23:41:07.8Z, 313.84442, -45.173546
a02983, 1898-05-01T00:50:24Z, 118.256335, -58.02625
a08124, 1906-09-22T06:54:43.2Z, 348.868388, -7.002246
a00869, 1894-09-14T01:32:09.6Z, 298.047638, 37.623017
a11254, 1915-05-31T00:13:31.5Z, 229.491697, -49.757488
a17487, 1935-04-14T20:35:31.2Z, 242.065488, -60.706512
a13009, 1924-06-27T00:31:40.8Z, 205.984821, 28.96165
a07081, 1904-11-18T03:14:24Z, 43.967267, -82.155962
a17236, 1934-11-08T01:59:31.2Z, 148.940008, -52.495769
a17731, 1935-06-23T21:25:55.2Z, 283.588882, -9.507499
a03659, 1899-06-28T03:56:09.6Z, 219.198532, -22.950044
a00520, 1894-04-04T04:53:45.6Z, 203.881896, -7.674483
a12991, 1924-06-11T04:49:26.4Z, 263.94366, -66.892289
a12537, 1923-07-21T07:45:07.2Z, 287.63309, -60.4987
a19049, 1936-12-22T22:58:04.8Z, 151.114215, -53.02496
a02314, 1897-05-27T00:43:12Z, 148.455119, -48.113301
a10175, NA, NA, NA
a01651, 1895-09-02T05:54:14.4Z, 358.862484, 52.696545
a06479, NA, NA, NA
a09842, NA, NA, NA
a10975, 1914-07-21T01:35:02.4Z, 204.097728, -45.674014
a16353, 1933-02-09T01:27:50.4Z, 199.377368, -39.767509
a07691, 1906-05-25T04:10:33.6Z, 221.868661, -45.651741
a03368, 1898-10-25T03:56:09.6Z, 63.450854, -42.39029
a03496, 1899-04-29T00:46:04.8Z, 132.958957, -63.265234
a08768, 1908-05-29T02:39:50.4Z, 245.862423, -44.658637
a06601, 1903-10-10T03:48:57.6Z, 33.892027, -2.105223
a10328, 1910-10-30T07:33:36Z, 62.169801, -29.909935
a12266, NA, NA, NA
a18806, 1936-08-13T17:32:38.4Z, 273.413099, -23.407853
a10672, 1913-05-23T00:21:36Z, 166.244537, -45.063765
a01991, 1896-08-14T03:15:50.4Z, 308.167563, 27.893179
a15374, 1931-05-16T02:54:14.4Z, 314.071664, -22.295646
a13534, 1925-09-15T09:51:50.4Z, 117.009264, -24.979802
a07669, 1906-05-15T03:17:16.8Z, 196.376975, 14.200915
a06021, 1902-07-13T03:05:45.6Z, 253.344139, 32.746384
a16086, 1932-06-04T18:20:09.6Z, 187.895156, -2.716488
a02787, 1897-10-05T01:27:50.4Z, 358.797391, -11.824672
a03630, 1899-06-13T04:39:21.6Z, 245.463185, -21.421948
a08483, 1907-08-29T03:53:16.8Z, 312.840235, -69.770855
a01731, NA, NA, NA
a00263, 1894-02-25T02:47:02.4Z, 129.631104, 19.812338
a07557, 1905-12-29T03:44:38.4Z, 93.929895, 12.387156
a02673, 1897-08-27T04:14:52.8Z, 279.218921, -32.370862
a12866, 1923-11-30T00:53:16.8Z, 325.3682, -22.896962
a05053, 1901-03-27T03:51:50.4Z, 143.511985, -48.16879
a01847, 1896-06-17T03:54:43.2Z, 282.924239, -7.412951
a16492, 1933-06-01T18:23:02.4Z, 160.962533, -40.263318
a16269, NA, NA, NA
a11391, NA, NA, NA
a16766, 1934-03-21T18:50:24Z, 97.672185, -85.07452
a08035, 1906-08-24T04:01:55.2Z, 358.687295, -1.885101
a12424, 1923-06-09T04:17:45.6Z, 285.147518, -13.452442
