Plate ID,Date,RA_CTR,DEC_CTR,Dec_delta_x,Dec_delta_y,RA_delta_x,RA_delta_y,crpix1,crpix2,naxis1,naxis2,Year,Cluster
a04260, 1900-03-31T06:36:00Z,189.319278,-32.846772, -0.000182008, -1.02069e-06, -1.04185e-06, 0.000181998,17730.7819,15991.3277, 35268, 31627,1900,-1
a04261, 1900-04-01T01:42:14.4Z,118.183552,-57.996238, -0.000182001, 1.57963e-06, 1.52195e-06, 0.000182005,18852.5027,14837.2894, 35268, 31627,1900,-1
a04262, 1900-04-01T02:55:40.8Z,125.637655,-58.083944, -0.000181996, 1.85601e-06, 1.79094e-06, 0.000181979,19042.059,14650.6371, 35268, 31627,1900,-1
a04263, 1900-04-01T04:12:00Z,156.092631,-58.302849, -0.000181986, 4.55072e-07, 4.01235e-07, 0.000181995,17951.1864,14155.9652, 35268, 31627,1900,-1
a04264, 1900-04-01T06:40:19.2Z,183.798325,-43.076819, -0.000182017, 2.07365e-07, 1.71814e-07, 0.000182,19104.0026,14960.6134, 35268, 31627,1900,-1
a04265, 1900-04-03T02:24:00Z,125.704895,-58.392637, -0.000181962, 3.16509e-06, 3.13264e-06, 0.000181954,18827.8147,13596.9355, 35268, 31627,1900,-1
a04266, 1900-04-04T02:55:40.8Z,149.046037,-58.136437, -0.000181975, 1.17711e-06, 1.12991e-06, 0.000181984,17742.3032,15168.1409, 35268, 31627,1900,-1
a04267, 1900-04-05T02:41:16.8Z,149.256525,-58.095451, -0.00018199, 1.09472e-06, 1.05534e-06, 0.000182008,18222.6419,15613.9218, 35268, 31627,1900,-1
a04268, 1900-04-05T04:03:21.6Z,173.904541,-43.545152, -0.000181992, -8.77373e-07, -9.00076e-07, 0.000181992,18153.1915,14469.3994, 35268, 31627,1900,-1
a04269, 1900-04-05T06:12:57.6Z,188.990087,-43.472132, -0.000181999, -1.91597e-06, -1.95252e-06, 0.000181991,18200.679,14665.4303, 35268, 31627,1900,-1
a04270, 1900-04-05T07:55:12Z,213.87441,-23.123484, -0.000182029, -2.91214e-06, -2.93341e-06, 0.000182019,18822.5976,14442.1011, 35268, 31627,1900,-1
a04271, 1900-04-06T00:57:36Z,179.300013,-38.175318, -0.000182023, -1.09858e-06, -1.09738e-06, 0.000181997,17403.0346,14530.2412, 35268, 31627,1900,-1
a04272, 1900-04-07T00:27:21.6Z,88.67667,-32.537799, -0.000181995, 1.14256e-06, 1.11086e-06, 0.000181958,18126.1037,14897.7541, 35268, 31627,1900,-1
a04273, 1900-04-07T01:36:28.8Z,113.688982,-32.824049, -0.00018199, 1.4121e-08, -1.2536e-08, 0.000181965,18262.6825,14932.9286, 35268, 31627,1900,-1
a04274, 1900-04-07T02:47:02.4Z,128.789813,-32.894563, -0.000181993, 1.98459e-06, 1.95535e-06, 0.000181968,18015.9807,15229.4657, 35268, 31627,1900,-1
a04275, 1900-04-07T04:06:14.4Z,214.436766,-33.009175, -0.000181982, -2.79326e-06, -2.80102e-06, 0.000181976,17856.2856,15057.0631, 35268, 31627,1900,-1
a04276, 1900-04-08T00:23:02.4Z,95.580761,-57.739076, -0.000181986, 2.15744e-06, 2.10019e-06, 0.00018197,18173.621,14918.6302, 35268, 31627,1900,-1
a04277, 1900-04-08T02:49:55.2Z,153.765015,-33.352419, -0.000181978, 6.34623e-07, 6.15265e-07, 0.00018197,18418.3312,14742.9487, 35268, 31627,1900,-1
a04278, 1900-04-08T04:04:48Z,166.108021,-68.523962, -0.000181999, 9.32128e-07, 8.67518e-07, 0.000182034,18129.3532,14635.0325, 35268, 31627,1900,-1
a04279, 1900-04-10T00:08:38.4Z,78.668052,-22.700707, -0.000182035, 2.18233e-06, 2.17601e-06, 0.000181979,18198.0503,15298.9778, 35268, 31627,1900,-1
a04280, 1900-04-10T00:30:14.4Z,88.661066,-22.823073, -0.000182021, 9.83041e-07, 9.66798e-07, 0.000181977,18333.7528,15094.7229, 35268, 31627,1900,-1
a04281, 1900-04-10T00:50:24Z,98.620992,-22.963996, -0.000182027, 1.16914e-06, 1.16003e-06, 0.000181997,18272.1726,14955.9847, 35268, 31627,1900,-1
a04282, 1900-04-10T01:03:21.6Z,108.809892,-23.010849, -0.000182004, -6.83462e-07, -6.93208e-07, 0.00018198,17545.0703,15446.6771, 35268, 31627,1900,-1
a04283, 1900-04-10T01:23:31.2Z,103.740246,-27.482167, -0.000182022, 2.48252e-06, 2.45907e-06, 0.000181984,17505.0601,15925.5178, 35268, 31627,1900,-1
a04284, 1900-04-10T01:37:55.2Z,103.336615,-37.72257, -0.000182037, 4.11516e-07, 3.76528e-07, 0.00018199,18756.4416,14633.9276, 35268, 31627,1900,-1
a04285, 1900-04-10T02:22:33.6Z,118.595046,-37.704296, -0.000182025, -4.83677e-07, -5.13417e-07, 0.000181999,17958.08,15348.8779, 35268, 31627,1900,-1
a04286, 1900-04-10T02:39:50.4Z,138.570914,-37.991116, -0.000182004, 1.882e-07, 1.55627e-07, 0.000181994,18430.2571,14989.9453, 35268, 31627,1900,-1
a04287, 1900-04-10T03:04:19.2Z,123.765654,-18.024234, -0.00018203, 2.03235e-06, 2.03131e-06, 0.000181979,18003.5605,15220.7299, 35268, 31627,1900,-1
a04288, 1900-04-10T03:18:43.2Z,133.87273,-18.070785, -0.000182032, -4.63341e-07, -4.72487e-07, 0.000181997,18029.3326,15509.8663, 35268, 31627,1900,-1
a04289, 1900-04-10T03:41:45.6Z,143.857117,-18.173767, -0.000182021, 3.36908e-07, 3.26452e-07, 0.000181992,17781.7307,15261.4431, 35268, 31627,1900,-1
a04290, 1900-04-10T03:57:36Z,153.806689,-18.238711, -0.000182005, -7.86631e-07, -8.04624e-07, 0.000181985,18255.7161,15382.3415, 35268, 31627,1900,-1
a04291, 1900-04-10T04:22:04.8Z,163.892368,-18.296626, -0.000181997, 3.37437e-07, 3.25388e-07, 0.000181979,18135.0329,15082.7212, 35268, 31627,1900,-1
a04292, 1900-04-10T04:39:21.6Z,178.985201,-18.275005, -0.000181991, 5.8141e-08, 3.9138e-08, 0.000181985,17922.4768,15559.1027, 35268, 31627,1900,-1
a04293, 1900-04-11T08:28:19.2Z,277.400129,-23.08363, -0.00018199, -1.87997e-06, -1.88917e-06, 0.00018197,17203.154,14723.9888, 35268, 31627,1900,0
a04294, 1900-04-11T09:53:16.8Z,337.062941,-9.133993, -0.000182087, -1.85086e-06, -1.90844e-06, 0.00018199,17324.3409,15350.4654, 35268, 31627,1900,-1
a04295, 1900-04-12T07:12:00Z,259.193934,-12.802744, -0.000182029, -1.34237e-06, -1.35443e-06, 0.000182019,17402.3757,14963.3839, 35268, 31627,1900,-1
a04296, 1900-04-12T07:29:16.8Z,269.211188,-12.657178, -0.000181989, -3.71269e-06, -3.7314e-06, 0.000181968,17823.6459,15256.257, 35268, 31627,1900,-1
