Plate ID, Date, Author, Notebook
a08800, 1908-06-07T06:15:50.4Z, None, None
a01112, 1894-10-19T01:45:07.2Z, None, None
a09739, 1909-08-26T03:40:19.2Z, None, None
a03085, 1898-06-14T01:33:36Z, None, None
a06906, 1904-08-23T08:35:31.2Z, None, None
a04822, 1900-10-24T01:07:40.8Z, None, None
a13882, 1926-07-09T01:40:48Z, None, None
a14341, 1929-11-10T19:35:02.4Z, ['Adelaide Ames'], ['phaedra2320']
a04841, 1900-11-02T00:27:21.6Z, None, None
a11205, 1915-05-12T02:49:55.2Z, None, None
a17419, 1935-03-15T23:49:55.2Z, None, None
a13379, 1925-06-30T07:46:33.6Z, ['Virginia McKibben Nail', 'R. K. Marshall', 'Marjorie Browning Leavens', 'Frances Woodworth Wright', 'Dorrit Hoffleit', 'Cecilia Payne-Gaposchkin'], ['phaedra2430', 'phaedra2446', 'phaedra2536']
a17733, 1935-06-24T01:35:02.4Z, None, None
a17534, 1935-05-02T03:17:16.8Z, None, None
a11350, 1915-08-18T07:48:00Z, None, None
a07722, 1906-06-14T00:57:36Z, None, None
a00889, 1894-09-24T08:03:50.4Z, ['Frances Woodworth Wright'], ['phaedra2459']
a03671, 1899-07-02T03:54:43.2Z, None, None
a13873, 1926-07-07T04:42:14.4Z, None, None
a14959, 1930-09-23T21:21:36Z, None, None
a19723, 1937-08-31T00:47:31.2Z, ['Virginia McKibben Nail', 'Jenka Mohr', 'Harlow Shapley', 'Frances Woodworth Wright'], ['phaedra2439', 'phaedra2437', 'phaedra2448', 'phaedra2503', 'phaedra2455']
a07115, 1904-12-10T03:14:24Z, ['Williamina Fleming', 'Muriel E. Mussells Seyfert', 'Emily Hughes Boyce'], ['phaedra0818', 'phaedra0814', 'phaedra2329', 'phaedra2616']
a15302, 1931-04-22T02:32:38.4Z, ['Margaret W. Mayall'], ['phaedra2583']
a04136, 1899-11-12T00:15:50.4Z, None, None
a16490, 1933-05-30T02:22:33.6Z, None, None
a12953, 1924-05-27T00:38:52.8Z, ['Frances Woodworth Wright'], ['phaedra2460']
a15683, 1931-08-18T22:56:38.4Z, None, None
a16095, 1932-06-10T19:29:16.8Z, None, None
a10269, 1910-09-09T06:11:31.2Z, None, None
