Plate ID, Date, RA_CTR, DEC_CTR, Dec_delta_x,Dec_delta_y, RA_delta_x, RA_delta_y, crpix1,crpix2, naxis1, naxis2 
a14074, 1926-10-10T00:37:26.4Z, 270.883148, 0.075006, -0.000182008, -1.90215e-06, -1.90198e-06, 0.000181974,11168.7695,11451.3907, 22041, 17410
a14075, 1926-10-10T01:23:31.2Z, 294.237999, -31.062986, -0.000181974, 2.78237e-06, 2.75983e-06, 0.000181947,12621.6782,7778.0343, 22041, 17371
a14076, 1926-10-10T02:41:16.8Z, 338.742922, -54.715949, -0.000181938, -3.22594e-06, -3.24929e-06, 0.00018195,18000.068,15314.3469, 35268, 31627
a14077, 1926-10-10T03:59:02.4Z, 13.688784, -72.966819, -0.000181906, -4.15703e-07, -4.27022e-07, 0.000182044,16249.8016,14203.5423, 35268, 31627
a14078, 1926-10-10T23:55:40.8Z, 265.837556, -4.831927, -0.000182054, -3.02461e-06, -3.10939e-06, 0.000182001,3888.3379,5.0845, 22041, 17371
a14079, 1926-10-11T00:36:00Z, 267.947959, -19.86619, -0.000182084, 6.52624e-07, 6.34139e-07, 0.000182016,6251.7454,11155.9897, 22041, 17371
a14080, 1926-10-11T23:54:14.4Z, 282.365145, 13.280879, -0.000181936, -3.16064e-06, -3.13756e-06, 0.000181929,18052.7018,15418.4292, 35268, 31627
a14081, 1926-10-12T00:38:52.8Z, 284.607349, 17.756104, -0.000181963, -3.21899e-06, -3.17823e-06, 0.000181945,18049.8989,15296.0617, 35268, 31627
a14082, 1926-10-12T01:24:57.6Z, 288.913554, 4.281562, -0.000181925, -4.86688e-06, -4.83531e-06, 0.000181889,18322.14,15727.3706, 35268, 31627
a14083, 1926-10-12T02:26:52.8Z, 331.113907, -24.733355, -0.000181911, -3.48286e-06, -3.49375e-06, 0.000181893,17831.3021,15841.6897, 35268, 31627
a14084, 1926-10-12T03:50:24Z, 13.168648, -72.780298, -0.000181942, -7.93607e-07, -7.95081e-07, 0.000182025,16947.1199,15467.0296, 35268, 31627
a14085, 1926-10-13T00:01:26.4Z, 335.60066, -22.305658, -0.000181939, -2.30511e-06, -2.30528e-06, 0.000181916,17721.825,15537.4954, 35268, 31627
a14086, 1926-10-13T00:40:19.2Z, 335.601491, -22.301782, -0.000181927, -2.87891e-06, -2.88192e-06, 0.000181906,17833.8578,15690.8498, 35268, 31627
a14087, 1926-10-13T01:26:24Z, 335.588557, -22.340305, -0.000181937, -2.51587e-06, -2.51878e-06, 0.000181922,17844.2836,15509.3633, 35268, 31627
a14088, 1926-10-13T02:06:43.2Z, 335.616803, -22.312796, -0.00018193, -2.99563e-06, -3.00293e-06, 0.000181912,17696.9257,15634.1528, 35268, 31627
a14089, 1926-10-13T03:23:02.4Z, 335.605666, -22.300989, -0.000181932, -3.29793e-06, -3.30642e-06, 0.000181906,17776.7546,15712.8119, 35268, 31627
a14090, 1926-10-13T04:00:28.8Z, 335.531729, -21.6542, -0.000183133, 0, 0, 0.000183133,8704.42486,10987.116227, 17410, 22041
a14091, 1926-10-14T05:21:07.2Z, 67.17931, 16.712684, -0.00018199, -1.43573e-06, -1.48472e-06, 0.000181968,17589.2715,16266.2383, 35268, 31627
a14092, 1926-10-14T06:38:52.8Z, 69.884346, 16.609334, -0.000181972, -2.10444e-07, -2.53621e-07, 0.000181961,17987.9565,15957.611, 35268, 31627
a14093, 1926-10-14T07:56:38.4Z, 81.495645, -68.970095, -0.000181989, 5.77538e-07, 6.4058e-07, 0.000181957,18651.9866,16112.1868, 38243, 31327
a14094, 1926-10-14T08:57:07.2Z, 116.136231, -26.256196, -0.000181991, -1.37152e-06, -1.37422e-06, 0.000181967,17769.7752,15680.9305, 35268, 31627
a14095, 1926-10-16T07:26:24Z, 67.177429, 20.039042, -0.000183133, 0, 0, 0.000183133,8685.103721,11020.116227, 17371, 22041
