RA (deg),Dec (deg),radius,Object Name,Object Type
225.12517724860533,-33.131897358647315,11940.68841917433,UCAC4 287-077045,Star
225.12517724860533,-33.131897358647315,11940.68841917433,TYC 7302-730-1,Star
225.12517724860533,-33.131897358647315,11940.68841917433,Gaia DR3 6204185988282605312,WhiteDwarf_Candidate
225.12517724860533,-33.131897358647315,11940.68841917433,Gaia DR3 6204185301092577920,HotSubdwarf_Candidate
225.12517724860533,-33.131897358647315,11940.68841917433,UCAC4 286-077690,Star
225.12517724860533,-33.131897358647315,11940.68841917433,UCAC4 287-077161,Star
225.12517724860533,-33.131897358647315,11940.68841917433,IRAS 14594-3302,FarIR
225.12517724860533,-33.131897358647315,11940.68841917433,UCAC4 287-077200,Star
225.12517724860533,-33.131897358647315,11940.68841917433,CRTS J150113.7-324328,EclBin
225.12517724860533,-33.131897358647315,11940.68841917433,LEDA  676860,Seyfert2
225.12517724860533,-33.131897358647315,11940.68841917433,LEDA  160358,Galaxy
225.12517724860533,-33.131897358647315,11940.68841917433,CRTS J150216.7-332156,RRLyrae
225.12517724860533,-33.131897358647315,11940.68841917433,TYC 7302-998-1,Star
225.12517724860533,-33.131897358647315,11940.68841917433,LP  914-37,HighPM*
225.12517724860533,-33.131897358647315,11940.68841917433,TYC 7315-1880-1,Star
225.12517724860533,-33.131897358647315,11940.68841917433,[WAM2017] V28,EclBin
225.12517724860533,-33.131897358647315,11940.68841917433,CD-32 10554,Star
225.12517724860533,-33.131897358647315,11940.68841917433,Gaia DR3 6204185026214673664,YSO_Candidate
225.12517724860533,-33.131897358647315,11940.68841917433,TYC 7302-705-1,Star
225.12517724860533,-33.131897358647315,11940.68841917433,UCAC4 287-077138,Star
225.12517724860533,-33.131897358647315,11940.68841917433,GALEX J145840.0-325416,WhiteDwarf_Candidate
225.12517724860533,-33.131897358647315,11940.68841917433,NVSS J150220-325427,Radio
225.12517724860533,-33.131897358647315,11940.68841917433,2MASS J14592202-3330459,Star
225.12517724860533,-33.131897358647315,11940.68841917433,LEDA  685646,Galaxy
225.12517724860533,-33.131897358647315,11940.68841917433,Gaia DR3 6204560681233498496,Star
225.12517724860533,-33.131897358647315,11940.68841917433,TYC 7302-911-1,Star
225.12517724860533,-33.131897358647315,11940.68841917433,NVSS J150215-332432,Radio
225.12517724860533,-33.131897358647315,11940.68841917433,UCAC4 287-077171,Star
225.12517724860533,-33.131897358647315,11940.68841917433,CRTS J150242.1-330552,RRLyrae
225.12517724860533,-33.131897358647315,11940.68841917433,UCAC4 287-077108,Star
225.12517724860533,-33.131897358647315,11940.68841917433,UCAC4 287-077214,Star
225.12517724860533,-33.131897358647315,11940.68841917433,TYC 7315-1722-1,Star
225.12517724860533,-33.131897358647315,11940.68841917433,CRTS J150020.7-324004,EclBin
225.12517724860533,-33.131897358647315,11940.68841917433,Gaia DR3 6204229522072252928,WhiteDwarf_Candidate
225.12517724860533,-33.131897358647315,11940.68841917433,Gaia DR3 6204579613450344960,HighPM*
225.12517724860533,-33.131897358647315,11940.68841917433,CD-32 10503,HighPM*
225.12517724860533,-33.131897358647315,11940.68841917433,CD-32 10555,Star
225.12517724860533,-33.131897358647315,11940.68841917433,TYC 7315-1921-1,ChemPec*
225.12517724860533,-33.131897358647315,11940.68841917433,Gaia DR3 6205026526267010816,EclBin
225.12517724860533,-33.131897358647315,11940.68841917433,NVSS J150118-333433,Radio
225.12517724860533,-33.131897358647315,11940.68841917433,UCAC4 286-077668,Star
225.12517724860533,-33.131897358647315,11940.68841917433,HD 132686,Star
225.12517724860533,-33.131897358647315,11940.68841917433,LEDA  687732,Galaxy
225.12517724860533,-33.131897358647315,11940.68841917433,LEDA  688389,Galaxy
225.12517724860533,-33.131897358647315,11940.68841917433,TYC 7315-1854-1,Star
225.12517724860533,-33.131897358647315,11940.68841917433,2MASS J15000591-3336441,LongPeriodV*
225.12517724860533,-33.131897358647315,11940.68841917433,UCAC4 286-077687,Star
225.12517724860533,-33.131897358647315,11940.68841917433,Gaia DR3 6205018249867895808,WhiteDwarf_Candidate
225.12517724860533,-33.131897358647315,11940.68841917433,TYC 7315-1821-1,Star
225.12517724860533,-33.131897358647315,11940.68841917433,TYC 7302-724-1,Star
225.12517724860533,-33.131897358647315,11940.68841917433,UCAC4 286-077636,Star
225.12517724860533,-33.131897358647315,11940.68841917433,Gaia DR3 6204584389454018816,HotSubdwarf_Candidate
225.12517724860533,-33.131897358647315,11940.68841917433,TYC 7302-834-1,Star
225.12517724860533,-33.131897358647315,11940.68841917433,Gaia DR3 6204215881256048512,WhiteDwarf_Candidate
225.12517724860533,-33.131897358647315,11940.68841917433,GRB 030519A,gammaBurst
225.12517724860533,-33.131897358647315,11940.68841917433,CD-32 10557,Star
225.12517724860533,-33.131897358647315,11940.68841917433,TYC 7315-375-1,Star
225.12517724860533,-33.131897358647315,11940.68841917433,TYC 7302-1428-1,Star
225.12517724860533,-33.131897358647315,11940.68841917433,Gaia DR3 6204173511402752640,WhiteDwarf_Candidate
225.12517724860533,-33.131897358647315,11940.68841917433,UCAC4 283-079431,Star
225.12517724860533,-33.131897358647315,11940.68841917433,UCAC4 287-077188,Star
225.12517724860533,-33.131897358647315,11940.68841917433,LEDA  676142,Galaxy
225.12517724860533,-33.131897358647315,11940.68841917433,UCAC4 287-077033,Star
225.12517724860533,-33.131897358647315,11940.68841917433,CRTS J150056.9-323814,EclBin
225.12517724860533,-33.131897358647315,11940.68841917433,HD 132379,Star
225.12517724860533,-33.131897358647315,11940.68841917433,TYC 7302-2133-1,Star
225.12517724860533,-33.131897358647315,11940.68841917433,NVSS J150256-330654,Radio
225.12517724860533,-33.131897358647315,11940.68841917433,UCAC4 287-077027,Star
225.12517724860533,-33.131897358647315,11940.68841917433,LEDA  684903,Galaxy
225.12517724860533,-33.131897358647315,11940.68841917433,TYC 7315-1582-1,Star
