Plate ID, Date, RA_CTR, DEC_CTR
a00795, 1894-08-15T01:42:14.4Z, 278.343363, 42.221298
a13423, 1925-07-24T01:00:28.8Z, 191.079707, -69.86422
a05372, 1901-06-18T00:07:12Z, 168.239301, -11.612115
a19793, 1937-10-08T22:53:45.6Z, 43.512739, -32.325741
a15914, 1932-02-02T01:03:21.6Z, 182.955507, -34.421112
a07263, 1905-04-23T02:16:48Z, 123.818328, 27.325301
a19580, 1937-07-16T17:34:04.8Z, 249.884594, -44.86329
a10482, 1911-09-01T07:50:52.8Z, 355.853141, 0.710757
a15935, 1932-03-03T23:25:26.4Z, 196.337165, -40.39258
a07857, 1906-07-15T04:16:19.2Z, 283.358787, 27.606197
a03604, NA, NA, NA
a19737, 1937-09-02T22:46:33.6Z, 17.466474, -15.316554
a02722, 1897-09-14T04:04:48Z, 289.547483, -52.325928
a03988, 1899-09-29T01:43:40.8Z, 16.952788, -70.700813
a07063, 1904-11-17T02:34:04.8Z, 58.88836, 2.51185
a07472, 1905-09-08T07:46:33.6Z, 78.760982, -7.680407
a05808, 1902-04-19T02:45:36Z, 124.237074, 2.493143
a10486, 1911-09-12T00:10:04.8Z, 251.231125, -52.894954
a05971, 1902-06-18T03:04:19.2Z, 263.91103, -7.915903
a16005, 1932-04-17T20:21:07.2Z, 138.656533, -27.738957
a14873, 1930-07-31T16:59:31.2Z, 273.644906, -29.939784
a10133, 1910-06-10T08:05:16.8Z, 274.65528, -7.509664
a04111, NA, NA, NA
a02141, 1896-10-18T01:14:52.8Z, 294.265783, -47.487507
a06673, NA, NA, NA
a07130, 1905-01-12T01:30:43.2Z, 98.327039, -12.687396
a12209, 1922-09-28T03:24:28.8Z, 324.732827, -23.018428
a02774, 1897-10-01T03:10:04.8Z, 303.818132, -17.421807
a04211, 1900-02-22T03:15:50.4Z, 98.277335, -42.549993
a12888, NA, NA, NA
a13552, 1925-09-24T06:41:45.6Z, 13.464756, -72.701263
a00259, 1894-02-25T01:32:09.6Z, 104.580537, 52.057464
a13746, 1926-05-29T23:35:31.2Z, 118.799959, -28.589136
a11569, NA, NA, NA
a09159, 1909-04-09T07:48:00Z, 211.224963, -5.413985
a15649, 1931-08-14T00:31:40.8Z, 13.36609, -72.747316
a16120, 1932-06-24T18:12:57.6Z, 240.295901, -63.005762
a13693, 1926-05-12T00:33:07.2Z, 116.54112, -25.447549
a19028, 1936-12-15T00:31:40.8Z, 93.106766, -47.468127
a03053, 1898-06-02T01:42:14.4Z, 194.305417, 27.000484
a03789, 1899-08-01T03:12:57.6Z, 285.001262, -37.125136
a11119, 1915-03-26T06:25:43Z, 160.805637, -61.067614
a06591, 1903-10-09T03:31:40.8Z, 4.110566, 47.882853
a11083, 1915-03-12T04:33:36Z, 139.170298, -54.925273
a18141, 1935-11-29T20:30:42.2Z, 79.591066, -68.460353
a02604, 1897-08-04T02:02:24Z, 299.414843, -57.472269
a12587, 1923-08-15T23:48:28.8Z, 255.00938, -30.455774
a04146, 1899-11-22T00:21:36Z, 18.93989, 22.915692
a16343, NA, NA, NA
a00601, 1894-05-04T02:18:14.4Z, 213.35855, 18.74486
a17246, 1934-11-13T19:40:48Z, 38.439852, -27.242549
a17429, 1935-03-22T02:01:46.3Z, 262.949176, -30.049288
a14008, 1926-09-03T07:23:31.2Z, 67.226137, 14.244417
a01676, 1895-09-14T03:33:07.2Z, 243.279809, 36.764248
a18577, 1936-06-09T19:16:19.2Z, 191.230504, -62.359286
a17728, 1935-06-23T17:09:36Z, 155.668032, -60.96617
a17605, 1935-06-06T02:29:45.6Z, 265.594208, -59.125189
a03375, 1898-10-26T02:29:45.6Z, 319.359569, -17.024312
a09293, 1909-05-30T01:23:31.2Z, 181.223381, -85.682763
a08613, 1908-04-10T06:20:09.6Z, 202.156977, -70.601784
a04609, 1900-08-26T01:39:21.6Z, 278.958747, -72.832028
a13715, 1926-05-14T02:13:55.2Z, 149.074534, -55.655606
a02652, 1897-08-18T03:54:43.2Z, 273.407073, -17.776593
a02438, NA, NA, NA
a10011, 1910-01-03T01:22:04.8Z, 26.866504, -20.135755
a16542, 1933-08-11T18:20:09.6Z, 286.655181, -37.503395
a19374, 1937-05-17T20:11:02.4Z, 225.975304, -48.75577
a17064, 1934-08-04T02:09:36Z, 13.553488, -72.778395
a14522, 1930-01-29T20:15:21.6Z, 88.530349, -22.305561
a17947, 1935-08-27T02:21:07.2Z, 60.683621, -59.912953
a08916, 1908-07-01T07:27:50.4Z, 298.935111, -27.372684
a03611, NA, NA, NA
